Material,File
JUFHID,850068
RORQIA,1037295
NAKJUF,1007079
YIYQUU,709881
YOGPOA,980634
SOBTUA,702130
GOSSEM01,866539
QUQPOI,1170166
WAVQIV,785842
EXEHEV,295873
OHUKIM,113216
NOHSUZ,702735
TOVKEW,703298
MIBMER,975826
XIBHOG,791671
MTLPAL,632178
EYAJOE,1214781
FEBHAX,809378
KUKZOH,868787
VAQBIY02,946760
IDORAW,102295
WESZIE,1059537
NEXDOK,611319
GURXEX,974749
HIFVUO,252468
YUZXUN,897890
WONZUV,761766
TOWNEA,693610
QARRAE,975780
ZARMAI,842714
NIJTOP,837717
MUZMAW,1049782
KARLIA,739787
GEWMOM,959054
HILJAO,108609
ACELIF,286973
LUQNAN,744241
HATKUK,780865
BOHYCU,661257
FARTUO,1113301
IBIGOR,210590
DATKIU,793708
BAWKIV,850461
LUJTIT,843437
FALVIZ,180978
UWUQEJ,838958
NIJTOP01,781997
METPAC,283539
PELQII,153600
BINSAU,884605
PUZBIW,951331
WAQDOJ,757366
FOHFEO,845965
HINQAY,1403645
CAKXOB,941820
SEFKOF,602488
TISNAM,866371
KUVYAD,987220
EXEHEV02,1058270
YEPSUI,966885
NEDWIE,292462
MAHSOE,873433
OLOGEC,252944
PUFYEW,794988
HOJJOH,1016644
KUWCEM,1005874
OPEGUM,794338
CUSDIE,757192
LEJCEK,785296
ZOFSEU,834531
XAKGAS,999217
DATKEQ,788293
XEDCEP01,850460
IYIHUU,290924
IFASIS,845019
OWAVIS,683714
NUCWAL,839257
KOJYUE,937887
EWAZUX,706826
